OCR Text,MM:SS Format
60,N
59,N
59,N
59,N
59,N
59,N
59,N
59,N
59,N
59,N
59,N
59,N
59,N
59,N
59,N
59,N
59,N
59,N
59,N
59,N
59,N
59,N
59,N
59,N
59,N
59,N
58,N
58,N
58,N
58,N
58,N
58,N
58,N
58,N
58,N
58,N
58,N
58,N
58,N
58,N
58,N
58,N
58,N
58,N
58,N
58,N
58,N
58,N
58,N
58,N
58,N
57,N
57,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
,N
56,N
56,N
56,N
56,N
56,N
56,N
56,N
56,N
56,N
56,N
56,N
56,N
56,N
56,N
56,N
56,N
56,N
56,N
56,N
56,N
56,N
56,N
56,N
56,N
56,N
